"barrel_bullet_land1","barrel_bullet_land2","wo","wv","coarse","same_shift_n","diff_shift_n","U","p_value","sameland","signif"
"1","4-2-1","10-1-3",175,50,0.25,51,32,-1.2724180205607,0.898387682675678,FALSE,FALSE
"2","4-2-1","2-1-2",175,50,0.25,22,30,-1.44469218382444,0.92572781682951,FALSE,FALSE
"3","4-2-1","10-2-5",175,50,0.25,23,47,0.131291890163351,0.447772203485804,FALSE,FALSE
"4","4-2-1","6-2-6",175,50,0.25,34,40,0.173544366254925,0.431111778836412,FALSE,FALSE
"5","4-2-1","5-2-2",175,50,0.25,42,34,0.156701233741528,0.437740157354556,FALSE,FALSE
"6","4-2-1","7-1-1",175,50,0.25,27,40,0.17895849739772,0.428985144909799,FALSE,FALSE
"7","4-2-1","3-1-5",175,50,0.25,11,48,0.642261628933257,0.26035166189905,FALSE,FALSE
"8","4-2-1","2-2-3",175,50,0.25,28,44,0.808577922366164,0.209378984069952,FALSE,FALSE
"9","4-2-1","8-1-4",175,50,0.25,36,29,0.369510205150285,0.355873733975426,FALSE,FALSE
"10","4-2-1","1-1-5",175,50,0.25,38,34,0.327111591508345,0.371791742460946,FALSE,FALSE
"11","4-2-1","7-2-2",175,50,0.25,33,31,0.73213746322499,0.232042334845534,FALSE,FALSE
"12","4-2-1","4-1-3",175,50,0.25,19,51,-0.521670953225031,0.699050273958225,TRUE,FALSE
"13","4-2-1","4-1-2",175,50,0.25,33,25,1.29536330876512,0.097597464547336,FALSE,FALSE
"14","4-2-1","3-2-5",175,50,0.25,30,34,-0.242162205838672,0.595672760531849,FALSE,FALSE
"15","4-2-1","2-1-3",175,50,0.25,10,44,-0.57897030283966,0.718695394235371,FALSE,FALSE
"16","4-2-1","1-1-3",175,50,0.25,49,37,0.876593319181467,0.190353784610364,FALSE,FALSE
"17","4-2-1","8-2-5",175,50,0.25,15,46,-0.736924353991854,0.769415823585227,FALSE,FALSE
"18","4-2-1","5-1-2",175,50,0.25,25,39,1.82325542780752,0.0341323568293986,FALSE,TRUE
"19","4-2-1","6-1-6",175,50,0.25,25,35,-0.457321393707814,0.676279972612134,FALSE,FALSE
"20","4-2-1","1-1-4",175,50,0.25,31,35,-1.41971323376918,0.922154408096941,FALSE,FALSE
"21","4-2-1","3-1-1",175,50,0.25,35,27,-0.887328562499917,0.812548983917766,FALSE,FALSE
"22","4-2-1","6-2-4",175,50,0.25,41,30,0.966161909147916,0.166981584901912,FALSE,FALSE
