"barrel_bullet_land1","barrel_bullet_land2","wo","wv","coarse","same_shift_n","diff_shift_n","U","p_value","x","sameland","signif"
"1","4-2-1","10-1-3",300,120,0.25,7,16,0.267261241912424,0.394634013067141,NA,FALSE,FALSE
"2","4-2-1","2-1-2",300,120,0.25,13,14,0.533787744668167,0.29674419685128,NA,FALSE,FALSE
"3","4-2-1","10-2-5",300,120,0.25,13,16,0.61394061351492,0.269627285543471,NA,FALSE,FALSE
"4","4-2-1","6-2-6",300,120,0.25,15,9,1.46089774529986,0.0720217527426623,NA,FALSE,FALSE
"5","4-2-1","5-2-2",300,120,0.25,10,17,-1.25524111313358,0.895304377556155,NA,FALSE,FALSE
"6","4-2-1","7-1-1",300,120,0.25,10,15,0.499230176602706,0.30880861899277,NA,FALSE,FALSE
"7","4-2-1","3-1-5",300,120,0.25,19,19,-1.9998401811278,0.977241237897292,NA,FALSE,FALSE
"8","4-2-1","2-2-3",300,120,0.25,16,7,1.1358602781278,0.128007522414904,NA,FALSE,FALSE
"9","4-2-1","8-1-4",300,120,0.25,18,20,-2.22188031557781,0.98685430248557,NA,FALSE,FALSE
"10","4-2-1","1-1-5",300,120,0.25,15,10,-0.776580274715321,0.78129677854882,NA,FALSE,FALSE
"11","4-2-1","7-2-2",300,120,0.25,6,18,-1.8,0.964069680887074,NA,FALSE,FALSE
"12","4-2-1","4-1-3",300,120,0.25,19,2,1.67731843404483,0.0467401148659357,NA,TRUE,TRUE
"13","4-2-1","4-1-2",300,120,0.25,12,10,1.38469899413115,0.0830722633975411,NA,FALSE,FALSE
"14","4-2-1","3-2-5",300,120,0.25,12,12,-1.09696551146029,0.863671765602498,NA,FALSE,FALSE
"15","4-2-1","2-1-3",300,120,0.25,2,18,-0.881917103688197,0.811089181449968,NA,FALSE,FALSE
"16","4-2-1","1-1-3",300,120,0.25,20,18,-0.20464687117164,0.581075983792479,NA,FALSE,FALSE
"17","4-2-1","8-2-5",300,120,0.25,5,18,-1.63978318349985,0.949474872037295,NA,FALSE,FALSE
"18","4-2-1","5-1-2",300,120,0.25,9,11,0.873697752857225,0.191141437519966,NA,FALSE,FALSE
"19","4-2-1","6-1-6",300,120,0.25,9,14,-2.26778683805536,0.988328898993555,NA,FALSE,FALSE
"20","4-2-1","1-1-4",300,120,0.25,12,12,0.923760430703401,0.177805530547619,NA,FALSE,FALSE
"21","4-2-1","3-1-1",300,120,0.25,13,14,-0.0970523172123939,0.538657576310479,NA,FALSE,FALSE
"22","4-2-1","6-2-4",300,120,0.25,14,18,-0.683763458757828,0.752937727795368,NA,FALSE,FALSE
"23","4-2-1","9-2-2",300,120,0.25,17,15,-0.207695100813574,0.582266478373631,NA,FALSE,FALSE
"24","4-2-1","4-1-4",300,120,0.25,11,15,-0.181649753637689,0.572071199707609,NA,FALSE,FALSE
"25","4-2-1","7-2-3",300,120,0.25,11,18,-1.03377312244364,0.849378880245869,NA,FALSE,FALSE
"26","4-2-1","10-1-1",300,120,0.25,13,10,0.620173672946042,0.267571726198875,NA,FALSE,FALSE
"27","4-2-1","10-2-1",300,120,0.25,16,4,1.3228756555323,0.092938366182938,NA,FALSE,FALSE
"28","4-2-1","1-2-1",300,120,0.25,19,17,1.4734705249287,0.0703121029577564,NA,FALSE,FALSE
