"barrel_bullet_land1","barrel_bullet_land2","wo","wv","coarse","same_shift_n","diff_shift_n","U","p_value","sameland","signif"
"1","4-2-1","10-1-3",250,50,0.25,20,43,0.132890495224189,0.447139991972214,FALSE,FALSE
"2","4-2-1","2-1-2",250,50,0.25,34,35,-0.828165649696566,0.796211652796596,FALSE,FALSE
"3","4-2-1","10-2-5",250,50,0.25,31,38,1.07364069478523,0.141491875512168,FALSE,FALSE
"4","4-2-1","6-2-6",250,50,0.25,38,23,-0.669655709100643,0.748461353952885,FALSE,FALSE
"5","4-2-1","5-2-2",250,50,0.25,34,40,0.401321346964514,0.344091774473381,FALSE,FALSE
"6","4-2-1","7-1-1",250,50,0.25,26,38,-1.07989756945311,0.859906102130096,FALSE,FALSE
"7","4-2-1","3-1-5",250,50,0.25,47,47,-0.964142322310012,0.83251271167064,FALSE,FALSE
"8","4-2-1","2-2-3",250,50,0.25,42,19,1.65081800844816,0.0493878708995305,FALSE,TRUE
"9","4-2-1","8-1-4",250,50,0.25,40,23,-0.770904324972217,0.779618178301887,FALSE,FALSE
"10","4-2-1","1-1-5",250,50,0.25,38,27,1.75719074042792,0.039442651513009,FALSE,TRUE
"11","4-2-1","7-2-2",250,50,0.25,29,47,-1.38473637596515,0.916933454063298,FALSE,FALSE
"12","4-2-1","4-1-3",250,50,0.25,50,10,2.71744817616895,0.00328937285599096,TRUE,TRUE
"13","4-2-1","4-1-2",250,50,0.25,32,25,-0.192980256270803,0.576512784672673,FALSE,FALSE
"14","4-2-1","3-2-5",250,50,0.25,27,33,-0.408619932134327,0.658590699568984,FALSE,FALSE
"15","4-2-1","2-1-3",250,50,0.25,8,44,-1.01447499709237,0.844821922961584,FALSE,FALSE
"16","4-2-1","1-1-3",250,50,0.25,15,45,-0.110965295941843,0.544178066720425,FALSE,FALSE
"17","4-2-1","8-2-5",250,50,0.25,13,44,-0.513502279713341,0.69619999173984,FALSE,FALSE
"18","4-2-1","5-1-2",250,50,0.25,24,29,-0.232291049214856,0.591844017989855,FALSE,FALSE
"19","4-2-1","6-1-6",250,50,0.25,24,35,0.0925820099772552,0.463117818156812,FALSE,FALSE
"20","4-2-1","1-1-4",250,50,0.25,48,13,0.0880587442095434,0.464914993150235,FALSE,FALSE
"21","4-2-1","3-1-1",250,50,0.25,48,20,0.107676380411633,0.457126203130525,FALSE,FALSE
"22","4-2-1","6-2-4",250,50,0.25,29,39,0.403012146969167,0.343469644275488,FALSE,FALSE
"23","4-2-1","9-2-2",250,50,0.25,24,30,0.852980514182919,0.196835055089889,FALSE,FALSE
"24","4-2-1","4-1-4",250,50,0.25,29,38,0.16450864366372,0.434665371395304,FALSE,FALSE
"25","4-2-1","7-2-3",250,50,0.25,44,47,1.3501137600524,0.088489747622661,FALSE,FALSE
"26","4-2-1","10-1-1",250,50,0.25,44,26,-0.352489702610124,0.637764480155341,FALSE,FALSE
"27","4-2-1","10-2-1",250,50,0.25,33,28,-0.289460153667779,0.613885365955794,FALSE,FALSE
"28","4-2-1","1-2-1",250,50,0.25,29,43,1.86573230572178,0.0310394137272302,FALSE,TRUE
"29","4-2-1","5-1-3",250,50,0.25,28,22,-0.547234173495873,0.707891069403845,FALSE,FALSE
"30","4-2-1","3-1-2",250,50,0.25,28,38,1.38824521550187,0.0825311940718043,FALSE,FALSE
"31","4-2-1","2-2-2",250,50,0.25,47,51,-1.26933784654259,0.897839703260484,FALSE,FALSE
"32","4-2-1","8-1-3",250,50,0.25,21,48,-1.18673220792786,0.882333366745207,FALSE,FALSE
"33","4-2-1","2-2-6",250,50,0.25,45,17,0.986210559023231,0.162014899431484,FALSE,FALSE
"34","4-2-1","10-2-2",250,50,0.25,15,48,-0.580947501931113,0.719362081932711,FALSE,FALSE
"35","4-2-1","7-1-6",250,50,0.25,30,48,-1.80762566603907,0.964667609581191,FALSE,FALSE
"36","4-2-1","8-1-6",250,50,0.25,48,15,0.613222363149508,0.269864659919048,FALSE,FALSE
"37","4-2-1","7-2-5",250,50,0.25,19,25,0.0592348877759092,0.476382510995376,FALSE,FALSE
"38","4-2-1","8-2-2",250,50,0.25,42,8,0.740958573634948,0.229359279362511,FALSE,FALSE
"39","4-2-1","6-1-5",250,50,0.25,16,34,-1.47660533718367,0.930109269889079,FALSE,FALSE
"40","4-2-1","6-1-1",250,50,0.25,17,48,0.149270358506633,0.440670151843768,FALSE,FALSE
"41","4-2-1","7-1-5",250,50,0.25,34,40,-0.173544366254925,0.568888221163588,FALSE,FALSE
"42","4-2-1","3-2-3",250,50,0.25,22,38,-0.843694574442622,0.800579949931746,FALSE,FALSE
"43","4-2-1","6-2-1",250,50,0.25,16,46,-0.900885232922901,0.816175328239467,FALSE,FALSE
"44","4-2-1","9-2-5",250,50,0.25,20,40,-0.972237574690129,0.834533814204947,FALSE,FALSE
"45","4-2-1","9-1-3",250,50,0.25,31,36,0.427546136603678,0.334490794222969,FALSE,FALSE
"46","4-2-1","7-1-3",250,50,0.25,11,39,0.128807033524453,0.448755169974674,FALSE,FALSE
"47","4-2-1","9-2-1",250,50,0.25,42,10,-0.626890671286972,0.734634548666876,FALSE,FALSE
"48","4-2-1","3-2-4",250,50,0.25,48,16,-1.25585168771574,0.895415126242312,FALSE,FALSE
"49","4-2-1","5-2-5",250,50,0.25,24,28,-0.734223098214352,0.768593610967502,FALSE,FALSE
"50","4-2-1","9-1-1",250,50,0.25,34,42,-0.0940207402449168,0.537453659309266,FALSE,FALSE
"51","4-2-1","5-2-4",250,50,0.25,13,50,0.611429598438082,0.270457606355487,FALSE,FALSE
"52","4-2-1","5-1-5",250,50,0.25,31,37,0.375564218026619,0.353620448185293,FALSE,FALSE
"53","4-2-1","9-1-4",250,50,0.25,37,23,-1.72566617690607,0.957796256846528,FALSE,FALSE
"54","4-2-1","8-2-3",250,50,0.25,10,44,0.779383099976466,0.217877038041952,FALSE,FALSE
"55","4-2-1","8-1-1",250,50,0.25,45,50,-0.0894427190999916,0.535634962717599,FALSE,FALSE
"56","4-2-1","10-2-4",250,50,0.25,42,41,0.755983816917958,0.224829449245859,FALSE,FALSE
"57","4-2-1","10-1-2",250,50,0.25,26,44,2.34587974495703,0.00949111540164549,FALSE,TRUE
"58","4-2-1","7-1-2",250,50,0.25,30,23,-0.287137014431022,0.612996294248272,FALSE,FALSE
"59","4-2-1","6-2-2",250,50,0.25,43,11,-1.57857800387522,0.94278355838363,FALSE,FALSE
"60","4-2-1","9-1-2",250,50,0.25,35,31,0.970030309045912,0.166015692322209,FALSE,FALSE
"61","4-2-1","5-1-4",250,50,0.25,36,41,-0.0510469909859741,0.520355962029567,FALSE,FALSE
"62","4-2-1","4-2-5",250,50,0.25,40,43,-0.464790168067512,0.678959135339984,FALSE,FALSE
"63","4-2-1","5-1-1",250,50,0.25,34,40,0.824335739710894,0.204874408288912,FALSE,FALSE
"64","4-2-1","4-1-1",250,50,0.25,20,37,-0.267535087977561,0.605471398957675,FALSE,FALSE
"65","4-2-1","10-2-6",250,50,0.25,37,34,-0.805716197153229,0.789796745965534,FALSE,FALSE
"66","4-2-1","1-1-2",250,50,0.25,39,29,1.80425438104658,0.0355957188675365,FALSE,TRUE
"67","4-2-1","6-2-5",250,50,0.25,33,35,-0.877366660369984,0.809856242126983,FALSE,FALSE
"68","4-2-1","3-2-1",250,50,0.25,49,11,-0.181490930896026,0.572008874477642,FALSE,FALSE
"69","4-2-1","3-2-2",250,50,0.25,28,41,-0.134419830720733,0.553464699354376,FALSE,FALSE
"70","4-2-1","5-2-3",250,50,0.25,40,21,-0.7286120888627,0.766880509190373,FALSE,FALSE
"71","4-2-1","10-1-6",250,50,0.25,47,23,0.906539241604092,0.182325252140253,FALSE,FALSE
"72","4-2-1","7-2-6",250,50,0.25,9,43,-0.133033156324224,0.55291642070633,FALSE,FALSE
"73","4-2-1","2-2-5",250,50,0.25,34,27,-0.464647297993634,0.678907972404238,FALSE,FALSE
"74","4-2-1","10-2-3",250,50,0.25,44,24,0.410661601871476,0.340660343264804,FALSE,FALSE
"75","4-2-1","4-2-3",250,50,0.25,29,39,-0.279008409440193,0.609880814429853,FALSE,FALSE
"76","4-2-1","4-2-4",250,50,0.25,45,22,1.46862614204502,0.0709671101064897,FALSE,FALSE
"77","4-2-1","1-2-5",250,50,0.25,43,8,0.777017830173717,0.218574125422021,FALSE,FALSE
"78","4-2-1","1-1-6",250,50,0.25,48,16,0.511643280180485,0.30445034459657,FALSE,FALSE
"79","4-2-1","1-1-1",250,50,0.25,43,41,0.863539717760188,0.19392039593071,FALSE,FALSE
"80","4-2-1","3-2-6",250,50,0.25,40,46,1.48919144317404,0.0682184817094876,FALSE,FALSE
"81","4-2-1","6-2-3",250,50,0.25,45,23,0.213884763065197,0.415318461303155,FALSE,FALSE
"82","4-2-1","2-1-4",250,50,0.25,30,36,1.64835713981068,0.0496397028470152,FALSE,TRUE
"83","4-2-1","9-1-5",250,50,0.25,33,41,-0.614411790044552,0.73052837662604,FALSE,FALSE
"84","4-2-1","2-2-1",250,50,0.25,49,31,0.794996299293326,0.213307827424232,FALSE,FALSE
"85","4-2-1","7-2-4",250,50,0.25,30,23,-0.412759458244594,0.660108571298181,FALSE,FALSE
